,Sentence,PreprocessedSentence,Sentiment
173,"On #FEDDAY looking for a sharp move up in equities $AAPL $HD $LOW $FB seeing $UVXY $TVIX getting hammered, even though market is down.",fedday look for sharp move up equity aapl hd low fb see uvxy tvix getting hammer even though market be down,positive
174,"Net sales totaled EUR 93.6 mn , up from EUR 93.2 mn in the corresponding period in 2005 .",net sale total eur mn up from eur mn corresponding period,positive
175,As a consequence the Works Council had withdrawn its petition to suspend the reorganisation .,as consequence work council have withdraw its petition to suspend reorganisation,neutral
176,CEO Erkki J+ñrvinen is happy with the company 's performance in 2010 .,ceo erkki jrvinen be happy with company performance,positive
177,"Comparable net sales are expected to increase more than 10 % in 2008 , in line with group target .",comparable net sale be expect to increase more than line with group target,positive
178,"Following the transaction , Lundbeck has worldwide rights for nalmefene , excluding North America , Mexico , Turkey and South-Korea .",follow transaction lundbeck have worldwide right for nalmefene exclude north america mexico turkey southkorea,positive
179,"The government started the sell-off last month , putting an 8 percent stake in TeliaSonera on the auction bloc .",government start selloff last month put percent stake teliasonera auction bloc,neutral
180,"The report goes on to provide detailed profiles of ten leading European specialty chemicals companies , and brief profiles of other major players .",report go to provide detailed profile of ten lead european specialty chemical company brief profile of other major player,neutral
181,"Both operating profit and net sales for the three-month period increased , respectively from EUR16 .0 m and EUR139m , as compared to the corresponding quarter in 2006 .",both operating profit net sale for threemonth period increase respectively from eur m eurm as compare to corresponding quarter,positive
182,The company expects its net sales for the whole 2009 to be at previous year levels .,company expect its net sale for whole to be at previous year level,neutral
183,"The company is headquartered in Sievi , Finland , and is listed on the Nordic Exchange in Helsinki .",company be headquarter sievi finland be list nordic exchange helsinki,neutral
184,"Commission income increased by 22 % to EUR 4.4 mn , and lending volume rose by 13.5 % .",commission income increase by to eur mn lending volume rise by,positive
185,"The Finnish company sold its UK operation - consisting of 50 staff in offices in London , Birmingham and Manchester - as part of a deal with Hampden in July 2001 for its European-wide property and casualty arm Sampo Industrial .",finnish company sell its uk operation consist of staff office london birmingham manchester as part of deal with hampden july for its europeanwide property casualty arm sampo industrial,neutral
186,"In the building and home improvement trade , sales decreased by 22.5 % to EUR 201.4 mn .",building home improvement trade sale decrease by to eur mn,negative
187,"The Innova 2 building will be located close to downtown , in the immediate vicinity of Paviljonki and the travel center , and within walking distance from the heart of the city thanks to the trade fair bridge .",innova building be locate close to downtown immediate vicinity of paviljonki travel center within walk distance from heart of city thank to trade fair bridge,neutral
188,"Finnish textiles and clothing group Marimekko Oyj posted a net profit of 7.99 mln euro $ 10.4 mln for 2006 , compared to 8.4 mln euro $ 10.9 mln for 2005 .",finnish textile clothing group marimekko oyj post net profit of mln euro mln for compare to mln euro mln for,neutral
189,The main strength of the cooperation project lies in merging the know-how of two large companies .,main strength of cooperation project lie merge knowhow of two large company,positive
190,Shareholders have a right to put on the agenda of the AGM items that are within the competence of the general meeting .,shareholder have right to put agenda of agm item that be within competence of general meeting,neutral
191,Kazgiprotsvetmet and Outotec Finland have signed an agreement on strategic cooperation in the marketing and providing of minerals processing and metallurgical plants and related services in Kazakhstan and the surrounding countries .,kazgiprotsvetmet outotec finland have sign agreement strategic cooperation marketing providing of mineral processing metallurgical plant related service kazakhstan surround country,positive
192,"Due to the rapid decrease in net sales , personnel reductions have been carried out on a wider scale than initially expected .",due to rapid decrease net sale personnel reduction have be carry out wide scale than initially expect,neutral
193,The government has instead proposed an exchange of the state 's stake in LMT to TeliaSonera 's stake in Lattelecom .,government have instead propose exchange of state stake lmt to teliasonera stake lattelecom,neutral
194,Stora is due to release its fourth-quarter and 2009 full-year earnings on Feb. 4 .,stora be due to release its fourthquarter fullyear earning feb,neutral
195,Full-year operating result for 2008 was 3.6 million negative .,fullyear operating result for be million negative,neutral
196,$NQ got hit hard lower this AM --> looks like it has found support a 18.89 http://stks.co/s052z,nq get hit hard lower this be look like it have find support,negative
198,"The company has established a 3G base station at about 17,000 feet at the foot of Mount Everest that will enable mountain climbers at the 29,035-foot summit to surf the Internet and even send videos of their exploits .",company have establish g base station at about foot at foot of mount everest that enable mountain climber at foot summit to surf internet even send video of their exploit,positive
199,We offer our customers solutions based on renewable raw materials .,we offer our customer solution base renewable raw material,neutral
200,A survey conducted by Taloustutkimus for Sampo Life shows that companies are badly prepared to losing key staff members .,survey conduct by taloustutkimus for sampo life show that company be badly prepared to lose key staff member,neutral
201,"Antti Orkola , president of Kemira GrowHow 's Industrial Solutions unit , told Thomson Financial News the company has put off opening the mine as prices of phosphate have been ` quite depressed for a long time ' . '",antti orkola president of kemira growhow industrial solution unit tell thomson financial news company have put off open mine as price of phosphate have be quite depressed for long time ' ',neutral
202,The pretax profit of the group 's life insurance business increased to EUR36m from EUR27m .,pretax profit of group life insurance business increase to eurm from eurm,positive
